"family","b0","design","size","sd","cell","rep","seed","ok","sd_hat","se_logsd","push","ll","ll_drop","how","held","boundary","se_x","se_x_drop","draws_finite","drop_ok","push_ok","at"
"poisson",1.09861228866811,"ri",10,0.3,47,62,385039,TRUE,0.338795031222839,0.281654349529359,12.643807207887,-205.449520285806,-217.807476651257,"tmb","","",0.0491672498932517,0.0481107918312402,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0.3,48,62,393230,TRUE,0.532570863301016,0.601334794580171,0.710069877418178,-68.1698647290626,-68.8795255533496,"tmb","","",0.209288298275247,0.199019231292703,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",30,0.3,49,62,401421,TRUE,0.276091049074895,0.177749079180533,20.6192679275159,-255.536041825108,-271.713662662921,"tmb","","",0.0324451715560842,0.035094866886158,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0.3,50,62,409612,TRUE,0.266943453376204,0.184667038050104,18.0890802406693,-584.05767530799,-601.724010517644,"tmb","","",0.0332999901726503,0.0316861179580543,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0.3,51,62,417803,TRUE,0.411705809457337,0.475193919949006,0.910036630895007,-206.817270581795,-207.732390099756,"tmb","","",0.124248467722135,0.120299218063797,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",12,0,1,63,8254,TRUE,0.341141140397627,0.232420013654677,13.700959614414,-219.220422670179,-220.475578073387,"tmb","","",0.0380272718397099,0.038194426098906,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0,2,63,16445,TRUE,7.13109583232067e-05,0,-2.61105697063613e-08,-521.102848859209,-521.102848834026,"boundary","g","g",0.0413174912703503,0.0413174878282822,NA,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",12,0,3,63,24636,TRUE,0.328172001809441,0.773793870346543,0.309888304402193,-159.038370381758,-159.33990726225,"tmb","","",0.153377272316934,0.147056667770182,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",24,0,4,63,32827,TRUE,6.85258244523597e-06,0,-1.32314426082303e-09,-472.082112782288,-472.082112780963,"boundary","g","g",0.027856361081143,0.0278563609274581,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",24,0,5,63,41018,TRUE,8.05578384908862e-05,0,-6.2054368754616e-08,-1079.43195958764,-1079.43195952558,"boundary","g","g",0.0300408116777911,0.0300408145088072,NA,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",24,0,6,63,49209,TRUE,4.31480530587921e-05,0,-1.52194843394682e-08,-327.860869441278,-327.860869426022,"boundary","g","g",0.100935551524759,0.100935559210492,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.1,7,63,57400,TRUE,0.212132557436951,0.371321291730174,3.01989758700145,-203.226144685412,-204.00654163552,"tmb","","",0.0323707112746347,0.0324225432521834,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0.1,8,63,65591,TRUE,0.000119690109183841,0,-2.04814796234132e-08,-503.104462674912,-503.104462654726,"boundary","g","g",0.0470030248408898,0.0470030292212154,NA,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",12,0.1,9,63,73782,TRUE,3.49338197682523e-05,0,-6.22651441517519e-09,-165.513100583862,-165.51310057762,"boundary","g","g",0.136113143460448,0.136113157242751,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.1,10,63,81973,TRUE,4.80068121513483e-06,0,-4.73221462016227e-10,-463.970473580999,-463.970473580526,"boundary","g","g",0.0275095963176926,0.0275095960804642,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",24,0.1,11,63,90164,TRUE,0.307091872481297,0.268517590721533,8.63834173492819,-1016.37661384509,-1017.83264088737,"tmb","","",0.0287647143692713,0.0281302232757594,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.1,12,63,98355,TRUE,0.25754684761663,0.592212238115743,0.552243174378418,-323.863917115285,-324.419355124149,"boundary","ar","ar",0.0987374211419028,0.0977107168831748,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",12,0.3,13,63,106546,TRUE,0.000186935396629835,0,-2.07990069611697e-09,-216.422177259231,-216.422177257145,"boundary","g","g",0.0357192832200978,0.035719283449166,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0.3,14,63,114737,TRUE,0.272331240237213,0.530905369831398,1.55458452975154,-525.306650648329,-525.600709057747,"tmb","","",0.0426825132175839,0.0420747384252834,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.3,15,63,122928,TRUE,0.149593882611723,2.60220721873186,0.0202489161697486,-164.446591879674,-164.466864544752,"boundary","ar","ar",0.136612704126736,0.135673973212264,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",24,0.3,16,63,131119,TRUE,0.320811498091338,0.305044746349139,4.52790362544766,-477.575650565239,-478.939353065866,"tmb","","",0.0268008512711276,0.0268586654358557,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.3,17,63,139310,TRUE,0.48450186459343,0.228754160240065,16.2955889461768,-1012.25063487121,-1013.7944612602,"tmb","","",0.0275823606937409,0.0269303803050339,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.3,18,63,147501,TRUE,5.90066986168083e-05,0,-1.50851064972812e-08,-323.031329661084,-323.031329645961,"boundary","g","g",0.109539329983254,0.109539319662058,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.5,19,63,155692,TRUE,0.478907860483859,0.332968017715716,5.5724114236134,-256.424286420612,-256.988343203116,"tmb","","",0.0397738432505381,0.0399089155169678,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0.5,20,63,163883,TRUE,0.70764958759829,0.192826986548848,40.9035990712324,-536.217262211973,-538.431190326821,"tmb","","",0.0434002062186664,0.0414508341100679,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.5,21,63,172074,TRUE,0.338977233700423,0.663612307785271,0.4378472511994,-164.777002284553,-164.776650412268,"boundary","ar","ar",0.135706816530592,0.156987916144044,NA,TRUE,FALSE,FALSE
"gaussian",0.5,"ri_ar",24,0.5,22,63,180265,TRUE,0.549525403851473,0.192185778136423,31.33059069174,-473.657377647459,-477.57772824322,"tmb","","",0.0269386713464749,0.0270643934275197,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.5,23,63,188456,TRUE,0.29431910611578,3.60163401764436,0.222285666730613,-1046.36135822522,-1046.36833683495,"tmb","","",0.0290366679199292,0.0289870922537945,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.5,24,63,196647,TRUE,0.988920839817948,0.456062181192198,15.8434784950671,-289.18884960833,-289.194698756365,"tmb","","",0.121456094148699,0.120474342548864,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",5,0,25,63,204838,TRUE,7.18962527595299e-06,0,-2.8636719662245e-09,-28.2287935906241,-28.228793587756,"boundary","g","g",0.0667637286764604,0.0681404397958455,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri",5,0,26,63,213029,TRUE,2.24963391992377e-05,0,-1.19616316851534e-08,-91.9866947443054,-91.9866947323142,"boundary","g","g",0.0791176749973215,0.0791176573107543,NA,TRUE,TRUE,TRUE
"binomial",0,"ri",5,0,27,63,221220,TRUE,2.04734107499095e-05,0,-2.27400676067191e-09,-34.1083063702951,-34.1083063680157,"boundary","g","g",0.333602402637677,0.333602436656038,NA,TRUE,TRUE,TRUE
