"family","b0","design","size","sd","cell","rep","seed","ok","sd_hat","se_logsd","push","ll","ll_drop","how","held","boundary","se_x","se_x_drop","draws_finite","drop_ok","push_ok","at"
"binomial",0,"ri_ar",12,0.5,21,83,222094,TRUE,0.466237842637961,0.447798705285164,1.22505494659208,-163.629188530925,-163.629185245871,"boundary","ar","ar",0.139991019687168,0.142074180632,TRUE,TRUE,FALSE,FALSE
"gaussian",0.5,"ri_ar",24,0.5,22,83,230285,TRUE,0.398847642162453,0.207947434182712,21.0330478130695,-475.779909818335,-478.999499491937,"tmb","","",0.0275055581710537,0.0276917090854922,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.5,23,83,238476,TRUE,0.60632781417673,0.198553769545267,29.922362402747,-1053.46200580058,-1056.38680604373,"tmb","","",0.0288434441738693,0.027881881790474,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.5,24,83,246667,TRUE,0.000141175900960147,0,-1.25827455121907e-08,-326.293874824446,-326.293874811837,"boundary","g","g",0.0978018056655568,0.0978018133445935,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",5,0,25,83,254858,TRUE,0.0599532438598935,2.60346299300699,0.0241607111981494,-36.2536766421236,-36.275018069674,"tmb","","",0.0745390468122562,0.0751770573495527,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",5,0,26,83,263049,TRUE,0.0858321793345549,1.90157149705377,0.0525061853863491,-103.406828151682,-103.451094857456,"tmb","","",0.0842880772339973,0.0768825624022812,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",5,0,27,83,271240,TRUE,2.7883871048064e-05,0,-3.48894246826603e-09,-34.4084194454111,-34.4084194419135,"boundary","g","g",0.323521212946729,0.323521245400215,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0,28,83,279431,TRUE,0.0877177358275154,0.967040377845627,0.204043199203781,-72.8596714865762,-73.039412833638,"tmb","","",0.0496031929379227,0.0502389705615774,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",10,0,29,83,287622,TRUE,2.03681394579331e-05,0,-1.41186262681003e-08,-184.852833628307,-184.852833614153,"boundary","g","g",0.0533145866712993,0.0533145740161036,TRUE,TRUE,TRUE,TRUE
"binomial",0,"ri",10,0,30,83,295813,TRUE,4.09945780250437e-05,0,-8.45801650939393e-09,-68.2880409032831,-68.2880408948041,"boundary","g","g",0.202119012071927,0.202119036778043,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",30,0,31,83,304004,TRUE,1.66788150037812e-05,0,-1.56903467996017e-08,-217.824341051773,-217.824341036055,"boundary","g","g",0.0285015340608581,0.0285970215908248,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri",30,0,32,83,312195,TRUE,0.0499776975332271,1.83310576071515,0.0419336222238371,-577.199647182974,-577.240369991086,"tmb","","",0.0345495260827102,0.0341428841027053,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0,33,83,320386,TRUE,0.000170730607707057,0,-1.44954128700192e-08,-207.816656375248,-207.816656360716,"boundary","g","g",0.111086029428681,0.11108604213331,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",5,0.1,34,83,328577,TRUE,5.05325669933168e-06,0,-2.06726014084779e-09,-28.7376281900095,-28.7376281879371,"boundary","g","g",0.0535395052299055,0.0546435269902588,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri",5,0.1,35,83,336768,TRUE,0.0393461423861122,6.13739258833867,0.0037200061426006,-99.7547968105433,-99.7583543624976,"tmb","","",0.0879331638579443,0.0869638099932075,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",5,0.1,36,83,344959,TRUE,2.47493961291495e-05,0,-3.08520142766611e-09,-31.6762542504731,-31.6762542473803,"boundary","g","g",0.310511537660104,0.310511549213585,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0.1,37,83,353150,TRUE,1.06947236136579e-05,0,-7.7033206480337e-09,-70.1683105213155,-70.168310513611,"boundary","g","g",0.0433447480649406,0.0437847891631078,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri",10,0.1,38,83,361341,TRUE,0.179957887407791,0.462898350584169,1.56553833449377,-193.543379462541,-195.003614218917,"tmb","","",0.0609047988478339,0.0564023105882186,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0.1,39,83,369532,TRUE,4.87444182980078e-05,0,-8.82712924976659e-09,-69.2328785249201,-69.2328785160736,"boundary","g","g",0.221787295398714,0.221787317493767,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",30,0.1,40,83,377723,TRUE,0.140531468692245,0.278253324092903,3.80416839570495,-208.665481088776,-211.9103230709,"tmb","","",0.0297646752222868,0.0303613512016508,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0.1,41,83,385914,TRUE,0.0332011886457834,3.78665335023685,0.00943894636191089,-596.094995583872,-596.104119716433,"tmb","","",0.036854266667604,0.0365353534626461,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0.1,42,83,394105,TRUE,0.000245782198016801,0,-2.01245029529673e-08,-197.479834143045,-197.479834122871,"boundary","g","g",0.125294964083885,0.125294962871492,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",5,0.3,43,83,402296,TRUE,0.0984232967652972,1.13202802238056,0.189937050009107,-33.8260408951089,-33.9665175486326,"tmb","","",0.0643412846947489,0.0615078594477152,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",5,0.3,44,83,410487,TRUE,0.41329832550142,0.403054074632717,6.62388837895394,-92.3219932321593,-98.4569435241343,"tmb","","",0.117686538569852,0.105430882813319,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",5,0.3,45,83,418678,TRUE,2.98713968156496e-05,0,-2.41576714188341e-09,-31.7168351230957,-31.7168351206741,"boundary","g","g",0.301764615661771,0.301764624387863,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0.3,46,83,426869,TRUE,0.264814369406943,0.311873354752364,6.42135599415039,-83.2393749426962,-88.3195265781906,"tmb","","",0.0535608845251085,0.0595969319216642,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",10,0.3,47,83,435060,TRUE,0.312575210877455,0.33511999443772,5.68289972897702,-193.470550147153,-198.882906244855,"tmb","","",0.0679422605103272,0.0653574499399096,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0.3,48,83,443251,TRUE,0.323671871806794,1.20962492240439,0.11679506194497,-65.4705333561611,-65.5877835309928,"tmb","","",0.215024541749362,0.211977621198782,TRUE,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",30,0.3,49,83,451442,TRUE,0.29810530303615,0.165672901115181,30.4173161019131,-239.449196162901,-262.469608786232,"tmb","","",0.0298631438899156,0.0332995058032707,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0.3,50,83,459633,TRUE,0.318921200776831,0.180188235172775,24.7866122445754,-620.035718785548,-644.10516207311,"tmb","","",0.0326621451469318,0.0304970964265605,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0.3,51,83,467824,TRUE,0.546818165881312,0.346294768249644,2.27566553619994,-203.167769818752,-205.370990392476,"tmb","","",0.138633258195919,0.128669937308689,TRUE,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",12,0,1,84,58275,TRUE,2.84532468310004e-06,0,-1.22838628158206e-10,-239.976869922188,-239.976869922065,"boundary","g","g",0.0419774414176179,0.0419774414298216,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0,2,84,66466,TRUE,0.182691434938541,2.15864934133821,0.276572695763775,-544.697597566151,-544.716898400177,"tmb","","",0.0414882362737076,0.0412737571836173,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0,3,84,74657,TRUE,0.787607550862363,0.309570273768214,5.07636792654102,-158.640751674568,-159.769521739852,"tmb","","",0.15927875675361,0.151330582450464,TRUE,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",24,0,4,84,82848,TRUE,3.92244771949379e-06,0,-6.55063558951952e-10,-453.89857068429,-453.898570683644,"boundary","g","g",0.0271019994266004,0.0271019991147715,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",24,0,5,84,91039,TRUE,0.104309597048059,1.23412587424448,0.246957674174382,-1001.6125898117,-1001.68529878824,"tmb","","",0.0275311826008234,0.0273635967676092,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0,6,84,99230,TRUE,0.308005103302978,0.612850916514056,0.635489403728229,-323.909304315713,-324.246513344299,"tmb","","",0.105629781297382,0.106745718482862,TRUE,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",12,0.1,7,84,107421,TRUE,0.312972185376569,0.238187640969028,9.92038466110444,-221.73295912341,-222.65772080411,"boundary","dispersion","dispersion",0.0398036586399277,0.0412567315647949,TRUE,FALSE,FALSE,FALSE
