"family","design","disp","cell","rep","seed","ok","logdisp","inv_sqrt","se_logdisp","ll","ll_limit","push","held","how","se_ratio_x","draws_finite","limit_ll","push_down"
"beta","ri",20,12,43,95071,TRUE,3.0098705748346,0.222031661609321,0.0845014810798962,217.922507149494,NA,2222.02119868334,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,44,7963,TRUE,22.0722293533425,1.61092860867363e-05,0,-632.809761133353,-632.809761167503,-3.06033598462818e-09,"g,dispersion","boundary",0.999999958057064,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,44,15882,TRUE,17.719042620668,0.000142023032851919,0,-568.207303252735,-568.207302783649,-4.04744923798717e-07,"g,dispersion","boundary",1.00000000496532,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,44,23801,TRUE,17.4283831009135,0.000164238396170867,0,-622.724412443045,-622.724410880161,-3.65251821676793e-07,"g,dispersion","boundary",1.00000004112238,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,44,31720,TRUE,-0.0466824884501622,1.02361578292981,0.227313705172979,-643.33536544714,-645.777114454003,69.8563119631779,"","tmb",1.02398771343124,TRUE,FALSE,FALSE
"nbinom","ri",Inf,5,44,39639,TRUE,18.4898684676455,9.65997665106488e-05,0,-495.211341610905,-495.211341063059,-5.20576293183694e-07,"dispersion","boundary",1.00000002407098,TRUE,TRUE,TRUE
"nbinom","ri",50,6,44,47558,TRUE,3.99846182681544,0.135439407823692,1.84668554078046,-535.840659492507,-536.007638439107,0.149906876514251,"","tmb",1.03849766586874,TRUE,FALSE,FALSE
"nbinom","ri",5,7,44,55477,TRUE,1.54066321303847,0.462859555613596,0.263544438854121,-564.806313046955,-580.381738319189,13.3983925771906,"","tmb",1.27469122145915,TRUE,FALSE,FALSE
"beta","ar1",10000,8,44,63396,TRUE,17.3182840469753,0.00017353313040084,0,211.542749206763,NA,1.07085625131731e-05,"dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,44,71315,TRUE,17.4516425716975,0.0001623394108339,0,200.372298386395,NA,0.000171540432802431,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,44,79234,TRUE,2.87103300763603,0.237992408276333,0.207944671643626,141.09615208888,NA,167.182935987915,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,44,87153,TRUE,5.3987687834361,0.0672468977471548,0.0859062055748549,531.477581301009,NA,2176.48266519782,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,44,95072,TRUE,2.92913253901455,0.231178238787018,0.0842609343694267,208.300532434689,NA,2229.42729353146,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,45,7964,TRUE,17.3403007680688,0.000171633291376865,0,-653.701193480922,-653.701193246467,-2.66628489953291e-07,"g,dispersion","boundary",0.999999991111911,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,45,15883,TRUE,15.7154794585336,0.00038674703721408,0,-615.223231277973,-615.223230149853,-1.10856740320742e-06,"g,dispersion","boundary",1.0000000200993,TRUE,TRUE,TRUE
